TEAM,PLAYER,POSITION,SCHOOL,Rating,Year.Selection,Overall sel,Pos.conv,Rated,last,first,fuzzy_key
Arizona Cardinals,Kyler Murray,QB,Oklahoma,0.9855,2019_1,1,QB,Yes,Murray,Kyler,murlerraykyl
San Francisco 49ers,Nick Bosa,DE,Ohio State,0.9965,2019_2,2,DL,Yes,Bosa,Nick,bosickosanic
New York Jets,Quinnen Williams,DT,Alabama,0.9321,2019_3,3,DL,Yes,Williams,Quinnen,wilnenamsqui
Oakland Raiders,Clelin Ferrell,DE,Clemson,0.9468,2019_4,4,DL,Yes,Ferrell,Clelin,ferlinellcle
Tampa Bay Buccaneers,Devin White,LB,LSU,0.9393,2019_5,5,LB,Yes,White,Devin,whivinitedev
New York Giants,Daniel Jones,QB,Duke,,2019_6,6,QB,No,Jones,Daniel,jonielnesdan
Jacksonville Jaguars,Josh Allen,LB,Kentucky,0.8721,2019_7,7,LB,Yes,Allen,Josh,alloshlenjos
Detroit Lions,T.J. Hockenson,TE,Iowa,,2019_8,8,TE,No,Hockenson,T.J.,hoc.j.sont.j
Buffalo Bills,Ed Oliver,DT,Houston,0.9969,2019_9,9,DL,Yes,Oliver,Ed,oliedvered
Pittsburgh Steelers,Devin Bush,LB,Michigan,0.9063,2019_10,10,LB,Yes,Bush,Devin,busvinushdev
Cincinnati Bengals,Jonah Williams,T,Alabama,0.9877,2019_11,11,OL,Yes,Williams,Jonah,wilnahamsjon
Green Bay Packers,Rashan Gary,LB,Michigan,1,2019_12,12,LB,Yes,Gary,Rashan,garhanaryras
Miami Dolphins,Christian Wilkins,DT,Clemson,0.9893,2019_13,13,DL,Yes,Wilkins,Christian,wilianinschr
Atlanta Falcons,Chris Lindstrom,OL,Boston College,,2019_14,14,OL,No,Lindstrom,Chris,linrisromchr
Washington Redskins,Dwayne Haskins,QB,Ohio State,0.9561,2019_15,15,QB,Yes,Haskins,Dwayne,hasyneinsdwa
Carolina Panthers,Brian Burns,DE,Florida State,0.9761,2019_16,16,DL,Yes,Burns,Brian,burianrnsbri
New York Giants,Dexter Lawrence,DT,Clemson,0.9992,2019_17,17,DL,Yes,Lawrence,Dexter,lawterncedex
Minnesota Vikings,Garrett Bradbury,C,North Carolina State,,2019_18,18,OL,No,Bradbury,Garrett,braetturygar
Tennessee Titans,Jeffery Simmons,DT,Mississippi State,0.9876,2019_19,19,DL,Yes,Simmons,Jeffery,simeryonsjef
Denver Broncos,Noah Fant,TE,Iowa,0.8665,2019_20,20,TE,Yes,Fant,Noah,fanoahantnoa
Green Bay Packers,Darnell Savage,DB,Maryland,,2019_21,21,DB,No,Savage,Darnell,savellagedar
Philadelphia Eagles,Andre Dillard,T,Washington State,,2019_22,22,OL,No,Dillard,Andre,dildreardand
Houston Texans,Tytus Howard,T,Alabama State,,2019_23,23,OL,No,Howard,Tytus,howtusardtyt
Oakland Raiders,Josh Jacobs,RB,Alabama,0.8725,2019_24,24,RB,Yes,Jacobs,Josh,jacoshobsjos
Baltimore Ravens,Marquise Brown,WR,Oklahoma,,2019_25,25,WR,No,Brown,Marquise,broiseownmar
Washington Redskins,Montez Sweat,LB,Mississippi State,,2019_26,26,LB,No,Sweat,Montez,swetezeatmon
Oakland Raiders,Johnathan Abram,DB,Mississippi State,0.8579,2019_27,27,DB,Yes,Abram,Johnathan,abrhanramjoh
Los Angeles Chargers,Jerry Tillery,DT,Notre Dame,0.9325,2019_28,28,DL,Yes,Tillery,Jerry,tilrryeryjer
Seattle Seahawks,L.J. Collier,DE,Texas Christian,,2019_29,29,DL,No,Collier,L.J.,col.j.ierl.j
New York Giants,Deandre Baker,CB,Georgia,0.8594,2019_30,30,DB,Yes,Baker,Deandre,bakdrekerdea
Atlanta Falcons,Kaleb McGary,OL,Washington,0.8969,2019_31,31,OL,Yes,McGary,Kaleb,mcglebarykal
New England Patriots,N'Keal Harry,WR,Arizona State,0.9736,2019_32,32,WR,Yes,Harry,N'Keal,harealrryn'k
Arizona Cardinals,Byron Murphy,CB,Washington,0.9549,2019_33,33,DB,Yes,Murphy,Byron,murronphybyr
Indianapolis Colts,Rock Ya-Sin,CB,Temple,,2019_34,34,DB,No,Ya-Sin,Rock,ya-ocksinroc
Jacksonville Jaguars,Jawaan Taylor,T,Florida,0.8453,2019_35,35,OL,Yes,Taylor,Jawaan,tayaanlorjaw
San Francisco 49ers,Deebo Samuel,WR,South Carolina,0.8483,2019_36,36,WR,Yes,Samuel,Deebo,sameboueldee
Carolina Panthers,Greg Little,OL,Mississippi,0.9614,2019_37,37,OL,Yes,Little,Greg,litregtlegre
Buffalo Bills,Cody Ford,T,Oklahoma,0.8674,2019_38,38,OL,Yes,Ford,Cody,forodyordcod
Tampa Bay Buccaneers,Sean Murphy-Bunting,CB,Central Michigan,,2019_39,39,DB,No,Murphy-Bunting,Sean,mureaningsea
Oakland Raiders,Trayvon Mullen,CB,Clemson,0.9679,2019_40,40,DB,Yes,Mullen,Trayvon,mulvonlentra
Denver Broncos,Dalton Risner,OL,Kansas State,0.8681,2019_41,41,OL,Yes,Risner,Dalton,ristonnerdal
Denver Broncos,Drew Lock,QB,Missouri,0.9553,2019_42,42,QB,Yes,Lock,Drew,locrewockdre
Detroit Lions,Jahlani Tavai,LB,Hawaii,,2019_43,43,LB,No,Tavai,Jahlani,tavanivaijah
Green Bay Packers,Elgton Jenkins,C,Mississippi State,,2019_44,44,OL,No,Jenkins,Elgton,jentoninselg
New England Patriots,Joejuan Williams,CB,Vanderbilt,0.9196,2019_45,45,DB,Yes,Williams,Joejuan,wiluanamsjoe
Cleveland Browns,Greedy Williams,CB,LSU,0.9164,2019_46,46,DB,Yes,Williams,Greedy,wiledyamsgre
Seattle Seahawks,Marquise Blair,DB,Utah,0.8689,2019_47,47,DB,Yes,Blair,Marquise,blaiseairmar
New Orleans Saints,Erik McCoy,OL,Texas A&M,,2019_48,48,OL,No,McCoy,Erik,mccrikcoyeri
Indianapolis Colts,Ben Banogu,DE,Texas Christian,,2019_49,49,DL,No,Banogu,Ben,banbenoguben
Minnesota Vikings,Irv Smith,TE,Alabama,,2019_50,50,TE,No,Smith,Irv,smiirvithirv
Tennessee Titans,A.J. Brown,WR,Mississippi,0.9803,2019_51,51,WR,Yes,Brown,A.J.,bro.j.owna.j
Cincinnati Bengals,Drew Sample,TE,Washington,,2019_52,52,TE,No,Sample,Drew,samrewpledre
Philadelphia Eagles,Miles Sanders,RB,Penn State,0.9865,2019_53,53,RB,Yes,Sanders,Miles,sanlesersmil
Houston Texans,Lonnie Johnson,CB,Kentucky,0.8762,2019_54,54,DB,Yes,Johnson,Lonnie,johniesonlon
Houston Texans,Max Scharping,OL,Northern Illinois,,2019_55,55,OL,No,Scharping,Max,schmaxingmax
Kansas City Chiefs,Mecole Hardman,WR,Georgia,0.991,2019_56,56,WR,Yes,Hardman,Mecole,harolemanmec
Philadelphia Eagles,J.J. Arcega-Whiteside,WR,Stanford,,2019_57,57,WR,No,Arcega-Whiteside,J.J.,arc.j.idej.j
Dallas Cowboys,Trysten Hill,DL,Central Florida,,2019_58,58,DL,No,Hill,Trysten,hiltenilltry
Indianapolis Colts,Parris Campbell,WR,Ohio State,0.9389,2019_59,59,WR,Yes,Campbell,Parris,camrisellpar
Los Angeles Chargers,Nasir Adderley,DB,Delaware,,2019_60,60,DB,No,Adderley,Nasir,addsirleynas
Los Angeles Rams,Taylor Rapp,SAF,Washington,0.8722,2019_61,61,DB,Yes,Rapp,Taylor,raplorapptay
Arizona Cardinals,Andy Isabella,WR,Massachusetts,,2019_62,62,WR,No,Isabella,Andy,isandyllaand
Kansas City Chiefs,Juan Thornhill,DB,Virginia,0.8587,2019_63,63,DB,Yes,Thornhill,Juan,thouanilljua
Seattle Seahawks,D.K. Metcalf,WR,Mississippi,0.9485,2019_64,64,WR,Yes,Metcalf,D.K.,met.k.alfd.k
Arizona Cardinals,Zach Allen,DE,Boston College,0.8527,2019_65,65,DL,Yes,Allen,Zach,allachlenzac
Pittsburgh Steelers,Diontae Johnson,WR,Toledo,,2019_66,66,WR,No,Johnson,Diontae,johtaesondio
San Francisco 49ers,Jalen Hurd,WR,Baylor,0.9805,2019_67,67,WR,Yes,Hurd,Jalen,hurlenurdjal
New York Jets,Jachai Polite,DE,Florida,0.8538,2019_68,68,DL,Yes,Polite,Jachai,polhaiitejac
Jacksonville Jaguars,Josh Oliver,TE,San Jose State,,2019_69,69,TE,No,Oliver,Josh,olioshverjos
Los Angeles Rams,Darrell Henderson,RB,Memphis,,2019_70,70,RB,No,Henderson,Darrell,henellsondar
Denver Broncos,Dre'Mont Jones,DT,Ohio State,0.941,2019_71,71,DL,Yes,Jones,Dre'Mont,jonontnesdre
Cincinnati Bengals,Germaine Pratt,LB,North Carolina State,0.8809,2019_72,72,LB,Yes,Pratt,Germaine,praineattger
Chicago Bears,David Montgomery,RB,Iowa State,,2019_73,73,RB,No,Montgomery,David,monviderydav
Buffalo Bills,Devin Singletary,RB,Florida Atlantic,,2019_74,74,RB,No,Singletary,Devin,sinvinarydev
Green Bay Packers,Jace Sternberger,TE,Texas A&M,,2019_75,75,TE,No,Sternberger,Jace,steacegerjac
Washington Redskins,Terry McLaurin,WR,Ohio State,0.9051,2019_76,76,WR,Yes,McLaurin,Terry,mclrryrinter
New England Patriots,Chase Winovich,DL,Michigan,0.8937,2019_77,77,DL,Yes,Winovich,Chase,winaseichcha
Miami Dolphins,Michael Deiter,OL,Wisconsin,,2019_78,78,OL,No,Deiter,Michael,deiaeltermic
Los Angeles Rams,David Long,DB,Michigan,0.8549,2019_79,79,DB,Yes,Long,David,lonvidongdav
Cleveland Browns,Sione Takitaki,LB,Brigham Young,0.8509,2019_80,80,LB,Yes,Takitaki,Sione,takoneakisio
Detroit Lions,Will Harris,DB,Boston College,0.9749,2019_81,81,DB,Yes,Harris,Will,harillriswil
Tennessee Titans,Nate Davis,G,Charlotte,0.851,2019_82,82,OL,Yes,Davis,Nate,davatevisnat
Pittsburgh Steelers,Justin Layne,CB,Michigan State,0.9252,2019_83,83,DB,Yes,Layne,Justin,laytinynejus
Kansas City Chiefs,Khalen Saunders,DT,Western Illinois,,2019_84,84,DL,No,Saunders,Khalen,saulenerskha
Baltimore Ravens,Jaylon Ferguson,LB,Louisiana Tech,,2019_85,85,LB,No,Ferguson,Jaylon,ferlonsonjay
Houston Texans,Kahale Warring,TE,San Diego State,,2019_86,86,TE,No,Warring,Kahale,waraleingkah
New England Patriots,Damien Harris,RB,Alabama,0.9866,2019_87,87,RB,Yes,Harris,Damien,harienrisdam
Seattle Seahawks,Cody Barton,LB,Utah,0.8518,2019_88,88,LB,Yes,Barton,Cody,barodytoncod
Indianapolis Colts,Bobby Okereke,ILB,Stanford,0.9268,2019_89,89,LB,Yes,Okereke,Bobby,okebbyekebob
Dallas Cowboys,Connor McGovern,G,Penn State,0.908,2019_90,90,OL,Yes,McGovern,Connor,mcgnorerncon
Los Angeles Chargers,Trey Pipkins,T,Sioux Falls,,2019_91,91,OL,No,Pipkins,Trey,pipreyinstre
New York Jets,Chuma Edoga,T,USC,0.988,2019_92,92,OL,Yes,Edoga,Chuma,edoumaogachu
Baltimore Ravens,Miles Boykin,WR,Notre Dame,0.9177,2019_93,93,WR,Yes,Boykin,Miles,boyleskinmil
Tampa Bay Buccaneers,Jamel Dean,DB,Auburn,0.8927,2019_94,94,DB,Yes,Dean,Jamel,deameleanjam
New York Giants,Oshane Ximines,DE,Old Dominion,,2019_95,95,DL,No,Ximines,Oshane,ximanenesosh
Buffalo Bills,Dawson Knox,TE,Mississippi,,2019_96,96,TE,No,Knox,Dawson,knosonnoxdaw
Los Angeles Rams,Bobby Evans,T,Oklahoma,0.926,2019_97,97,OL,Yes,Evans,Bobby,evabbyansbob
Jacksonville Jaguars,Quincy Williams,LB,Murray State,,2019_98,98,LB,No,Williams,Quincy,wilncyamsqui
Tampa Bay Buccaneers,Mike Edwards,SAF,Kentucky,0.8873,2019_99,99,DB,Yes,Edwards,Mike,edwikerdsmik
Carolina Panthers,Will Grier,QB,West Virginia,0.9765,2019_100,100,QB,Yes,Grier,Will,griillierwil
New England Patriots,Yodny Cajuste,T,West Virginia,0.8448,2019_101,101,OL,Yes,Cajuste,Yodny,cajdnysteyod
Minnesota Vikings,Alexander Mattison,RB,Boise State,0.8583,2019_102,102,RB,Yes,Mattison,Alexander,matdersonale
Arizona Cardinals,Hakeem Butler,WR,Iowa State,,2019_103,103,WR,No,Butler,Hakeem,buteemlerhak
Cincinnati Bengals,Ryan Finley,QB,North Carolina State,0.86,2019_104,104,QB,Yes,Finley,Ryan,finyanleyrya
New Orleans Saints,Chauncey Gardner-Johnson,SAF,Florida,0.9774,2019_105,105,DB,Yes,Gardner-Johnson,Chauncey,garceysoncha
Oakland Raiders,Maxx Crosby,DE,Eastern Michigan,,2019_106,106,DL,No,Crosby,Maxx,croaxxsbymax
Tampa Bay Buccaneers,Anthony Nelson,LB,Iowa,,2019_107,107,LB,No,Nelson,Anthony,nelonysonant
New York Giants,Julian Love,CB,Notre Dame,0.8711,2019_108,108,DB,Yes,Love,Julian,lovianovejul
Indianapolis Colts,Khari Willis,SAF,Michigan State,0.8522,2019_109,109,DB,Yes,Willis,Khari,wilariliskha
San Francisco 49ers,Mitch Wishnowsky,P,Utah,,2019_110,110,P,No,Wishnowsky,Mitch,wistchskymit
Atlanta Falcons,Kendall Sheffield,DB,Ohio State,0.9901,2019_111,111,DB,Yes,Sheffield,Kendall,shealleldken
Washington Redskins,Bryce Love,RB,Stanford,0.9112,2019_112,112,RB,Yes,Love,Bryce,lovyceovebry
Baltimore Ravens,Justice Hill,RB,Oklahoma State,0.8443,2019_113,113,RB,Yes,Hill,Justice,hiliceilljus
Minnesota Vikings,Dru Samia,G,Oklahoma,0.8986,2019_114,114,OL,Yes,Samia,Dru,samdrumiadru
Carolina Panthers,Christian Miller,LB,Alabama,0.9804,2019_115,115,LB,Yes,Miller,Christian,milianlerchr
Tennessee Titans,Amani Hooker,SAF,Iowa,0.8645,2019_116,116,DB,Yes,Hooker,Amani,hooanikerama
Detroit Lions,Austin Bryant,DE,Clemson,0.919,2019_117,117,DL,Yes,Bryant,Austin,brytinantaus
New England Patriots,Hjalte Froholdt,G,Arkansas,0.9356,2019_118,118,OL,Yes,Froholdt,Hjalte,frolteldthja
Cleveland Browns,Sheldrick Redwine,DB,Miami (Fla.),0.8563,2019_119,119,DB,Yes,Redwine,Sheldrick,redickineshe
Seattle Seahawks,Gary Jennings,WR,West Virginia,,2019_120,120,WR,No,Jennings,Gary,jenaryngsgar
New York Jets,Trevon Wesco,TE,West Virginia,,2019_121,121,TE,No,Wesco,Trevon,wesvonscotre
Pittsburgh Steelers,Benny Snell,RB,Kentucky,0.8482,2019_122,122,RB,Yes,Snell,Benny,snennyellben
Baltimore Ravens,Ben Powers,G,Oklahoma,,2019_123,123,OL,No,Powers,Ben,powbenersben
Seattle Seahawks,Phil Haynes,G,Wake Forest,,2019_124,124,OL,No,Haynes,Phil,hayhilnesphi
Cincinnati Bengals,Renell Wren,DT,Arizona State,0.8779,2019_125,125,DL,Yes,Wren,Renell,wreellrenren
Chicago Bears,Riley Ridley,WR,Georgia,0.9089,2019_126,126,WR,Yes,Ridley,Riley,ridleyleyril
Baltimore Ravens,Iman Marshall,CB,USC,0.9986,2019_127,127,DB,Yes,Marshall,Iman,marmanallima
Dallas Cowboys,Tony Pollard,RB,Memphis,,2019_128,128,RB,No,Pollard,Tony,polonyardton
Oakland Raiders,Isaiah Johnson,CB,Houston,0.8764,2019_129,129,DB,Yes,Johnson,Isaiah,johiahsonisa
Los Angeles Chargers,Drue Tranquill,LB,Notre Dame,0.8961,2019_130,130,LB,Yes,Tranquill,Drue,trarueilldru
Washington Redskins,Wes Martin,G,Indiana,,2019_131,131,OL,No,Martin,Wes,marwestinwes
Seattle Seahawks,Ugo Amadi,CB,Oregon,0.8784,2019_132,132,DB,Yes,Amadi,Ugo,amaugoadiugo
New England Patriots,Jarrett Stidham,QB,Auburn,0.983,2019_133,133,QB,Yes,Stidham,Jarrett,stietthamjar
Los Angeles Rams,Greg Gaines,DT,Washington,0.855,2019_134,134,DL,Yes,Gaines,Greg,gairegnesgre
Atlanta Falcons,John Cominsky,DE,Charleston (WV),,2019_135,135,DL,No,Cominsky,John,comohnskyjoh
Cincinnati Bengals,Mike Jordan,G,Ohio State,,2019_136,136,OL,No,Jordan,Mike,jorikedanmik
Oakland Raiders,Foster Moreau,TE,LSU,,2019_137,137,TE,No,Moreau,Foster,mortereaufos
Philadelphia Eagles,Shareef Miller,DE,Penn State,0.8681,2019_138,138,DL,Yes,Miller,Shareef,mileeflersha
Cleveland Browns,Baker Mayfield,QB,Oklahoma,,2018_1,1,QB,No,Mayfield,Baker,maykereldbak
New York Giants,Saquon Barkley,RB,Penn State,0.9459,2018_2,2,RB,Yes,Barkley,Saquon,baruonleysaq
New York Jets,Sam Darnold,QB,USC,0.9339,2018_3,3,QB,Yes,Darnold,Sam,darsamoldsam
Cleveland Browns,Denzel Ward,CB,Ohio State,0.8578,2018_4,4,DB,Yes,Ward,Denzel,warzelardden
Denver Broncos,Bradley Chubb,DE,North Carolina State,0.8538,2018_5,5,DL,Yes,Chubb,Bradley,chuleyubbbra
Indianapolis Colts,Quenton Nelson,G,Notre Dame,0.9707,2018_6,6,OL,Yes,Nelson,Quenton,neltonsonque
Buffalo Bills,Josh Allen,QB,Wyoming,0.8721,2018_7,7,QB,Yes,Allen,Josh,alloshlenjos
Chicago Bears,Roquan Smith,LB,Georgia,0.9769,2018_8,8,LB,Yes,Smith,Roquan,smiuanithroq
San Francisco 49ers,Mike McGlinchey,T,Notre Dame,0.928,2018_9,9,OL,Yes,McGlinchey,Mike,mcgikeheymik
Arizona Cardinals,Josh Rosen,QB,UCLA,0.9932,2018_10,10,QB,Yes,Rosen,Josh,rososhsenjos
Miami Dolphins,Minkah Fitzpatrick,SAF,Alabama,0.9872,2018_11,11,DB,Yes,Fitzpatrick,Minkah,fitkahickmin
Tampa Bay Buccaneers,Vita Vea,DT,Washington,0.8621,2018_12,12,DL,Yes,Vea,Vita,veaitaveavit
Washington Redskins,Daron Payne,DT,Alabama,0.9879,2018_13,13,DL,Yes,Payne,Daron,payronynedar
New Orleans Saints,Marcus Davenport,DE,Texas-San Antonio,,2018_14,14,DL,No,Davenport,Marcus,davcusortmar
Oakland Raiders,Kolton Miller,T,UCLA,0.8841,2018_15,15,OL,Yes,Miller,Kolton,miltonlerkol
Buffalo Bills,Tremaine Edmunds,LB,Virginia Tech,0.876,2018_16,16,LB,Yes,Edmunds,Tremaine,edminendstre
Los Angeles Chargers,Derwin James,SAF,Florida State,0.9982,2018_17,17,DB,Yes,James,Derwin,jamwinmesder
Green Bay Packers,Jaire Alexander,CB,Louisville,0.8478,2018_18,18,DB,Yes,Alexander,Jaire,aleirederjai
Dallas Cowboys,Leighton Vander Esch,LB,Boise State,,2018_19,19,LB,No,Vander Esch,Leighton,vantonschlei
Detroit Lions,Frank Ragnow,C,Arkansas,0.8913,2018_20,20,OL,Yes,Ragnow,Frank,raganknowfra
Cincinnati Bengals,Billy Price,C,Ohio State,0.9165,2018_21,21,OL,Yes,Price,Billy,prillyicebil
Tennessee Titans,Rashaan Evans,LB,Alabama,0.9926,2018_22,22,LB,Yes,Evans,Rashaan,evaaanansras
New England Patriots,Isaiah Wynn,T,Georgia,0.9474,2018_23,23,OL,Yes,Wynn,Isaiah,wyniahynnisa
Carolina Panthers,D.J. Moore,WR,Maryland,0.826,2018_24,24,WR,Yes,Moore,D.J.,moo.j.ored.j
Baltimore Ravens,Hayden Hurst,TE,South Carolina,,2018_25,25,TE,No,Hurst,Hayden,hurdenrsthay
Atlanta Falcons,Calvin Ridley,WR,Alabama,0.9932,2018_26,26,WR,Yes,Ridley,Calvin,ridvinleycal
Seattle Seahawks,Rashaad Penny,RB,San Diego State,0.8431,2018_27,27,RB,Yes,Penny,Rashaad,penaadnnyras
Pittsburgh Steelers,Terrell Edmunds,SAF,Virginia Tech,,2018_28,28,DB,No,Edmunds,Terrell,edmellndster
Jacksonville Jaguars,Taven Bryan,DT,Florida,0.8656,2018_29,29,DL,Yes,Bryan,Taven,bryvenyantav
Minnesota Vikings,Mike Hughes,CB,Central Florida,0.8777,2018_30,30,DB,Yes,Hughes,Mike,hugikehesmik
New England Patriots,Sony Michel,RB,Georgia,0.9905,2018_31,31,RB,Yes,Michel,Sony,miconyhelson
Baltimore Ravens,Lamar Jackson,QB,Louisville,0.8788,2018_32,32,QB,Yes,Jackson,Lamar,jacmarsonlam
Cleveland Browns,Austin Corbett,G,Nevada,,2018_33,33,OL,No,Corbett,Austin,cortinettaus
New York Giants,Will Hernandez,G,Texas-El Paso,,2018_34,34,OL,No,Hernandez,Will,herilldezwil
Cleveland Browns,Nick Chubb,RB,Georgia,0.9846,2018_35,35,RB,Yes,Chubb,Nick,chuickubbnic
Indianapolis Colts,Darius Leonard,LB,South Carolina State,,2018_36,36,LB,No,Leonard,Darius,leoiusarddar
Indianapolis Colts,Braden Smith,G,Auburn,0.9699,2018_37,37,OL,Yes,Smith,Braden,smidenithbra
Tampa Bay Buccaneers,Ronald Jones,RB,USC,,2018_38,38,RB,No,Jones,Ronald,jonaldnesron
Chicago Bears,James Daniels,C,Iowa,0.8909,2018_39,39,OL,Yes,Daniels,James,danmeselsjam
Denver Broncos,Courtland Sutton,WR,Southern Methodist,,2018_40,40,WR,No,Sutton,Courtland,sutandtoncou
Tennessee Titans,Harold Landry,LB,Boston College,0.8772,2018_41,41,LB,Yes,Landry,Harold,lanolddryhar
Miami Dolphins,Mike Gesicki,TE,Penn State,0.913,2018_42,42,TE,Yes,Gesicki,Mike,gesikeckimik
Detroit Lions,Kerryon Johnson,RB,Auburn,0.9811,2018_43,43,RB,Yes,Johnson,Kerryon,johyonsonker
San Francisco 49ers,Dante Pettis,WR,Washington,0.8452,2018_44,44,WR,Yes,Pettis,Dante,petntetisdan
Green Bay Packers,Josh Jackson,CB,Iowa,0.86,2018_45,45,DB,Yes,Jackson,Josh,jacoshsonjos
Kansas City Chiefs,Breeland Speaks,LB,Mississippi,0.9194,2018_46,46,LB,Yes,Speaks,Breeland,speandaksbre
Arizona Cardinals,Christian Kirk,WR,Texas A&M,0.9891,2018_47,47,WR,Yes,Kirk,Christian,kirianirkchr
Los Angeles Chargers,Uchenna Nwosu,LB,USC,0.8472,2018_48,48,LB,Yes,Nwosu,Uchenna,nwonnaosuuch
Philadelphia Eagles,Dallas Goedert,TE,South Dakota State,,2018_49,49,TE,No,Goedert,Dallas,goelasertdal
Dallas Cowboys,Connor Williams,G,Texas,0.8773,2018_50,50,OL,Yes,Williams,Connor,wilnoramscon
Chicago Bears,Anthony Miller,WR,Memphis,0.8733,2018_51,51,WR,Yes,Miller,Anthony,milonylerant
Indianapolis Colts,Kemoko Turay,LB,Rutgers,,2018_52,52,LB,No,Turay,Kemoko,turokoraykem
Tampa Bay Buccaneers,M.J. Stewart,CB,North Carolina,0.8715,2018_53,53,DB,Yes,Stewart,M.J.,ste.j.artm.j
Cincinnati Bengals,Jessie Bates,SAF,Wake Forest,,2018_54,54,DB,No,Bates,Jessie,batsietesjes
Carolina Panthers,Donte Jackson,CB,LSU,0.9761,2018_55,55,DB,Yes,Jackson,Donte,jacntesondon
New England Patriots,Duke Dawson,DB,Florida,0.9225,2018_56,56,DB,Yes,Dawson,Duke,dawukesonduk
