PlayerCode,Name,Name clean,Rating,Stars,First,Last,fuzzy_key
20051,Eugene Monroe,Eugene Monroe,0.9992,5,Eugene,Monroe,moneneroeeug
20052,Patrick Turner,Patrick Turner,0.9992,5,Patrick,Turner,turicknerpat
20053,Mark Sanchez,Mark Sanchez,0.9988,5,Mark,Sanchez,sanarkhezmar
20054,Derrick Williams,Derrick Williams,0.9986,5,Derrick,Williams,wilickamsder
20055,Fred Rouse,Fred Rouse,0.998,5,Fred,Rouse,rouredusefre
20056,Ryan Perrilloux,Ryan Perrilloux,0.9968,5,Ryan,Perrilloux,peryanouxrya
20057,DeMarcus Granger,DeMarcus Granger,0.9964,5,DeMarcus,Granger,gracusgerdem
20058,Reggie Youngblood,Reggie Youngblood,0.996,5,Reggie,Youngblood,yougieoodreg
20059,Kenneth Phillips,Kenneth Phillips,0.996,5,Kenneth,Phillips,phiethipsken
200510,Rey Maualuga,Rey Maualuga,0.9958,5,Rey,Maualuga,maureyugarey
200511,Tray Blackmon,Tray Blackmon,0.9956,5,Tray,Blackmon,blaraymontra
200512,Jonathan Stewart,Jonathan Stewart,0.9952,5,Jonathan,Stewart,stehanartjon
200513,Demetrice Morley,Demetrice Morley,0.9952,5,Demetrice,Morley,moriceleydem
200514,Marlon Lucky,Marlon Lucky,0.995,5,Marlon,Lucky,luclonckymar
200515,Justin King,Justin King,0.9942,5,Justin,King,kintiningjus
200516,Martellus Bennett,Martellus Bennett,0.9936,5,Martellus,Bennett,benlusettmar
200517,Alex Boone,Alex Boone,0.9934,5,Alex,Boone,boolexoneale
200518,Antone Smith,Antone Smith,0.9932,5,Antone,Smith,smioneithant
200519,Callahan Bright,Callahan Bright,0.9932,5,Callahan,Bright,brihanghtcal
200520,Melvin Alaeze,Melvin Alaeze,0.9916,5,Melvin,Alaeze,alavinezemel
200521,Kevin Grady,Kevin Grady,0.9914,5,Kevin,Grady,gravinadykev
200522,DeSean Jackson,DeSean Jackson,0.991,5,DeSean,Jackson,jaceansondes
200523,Jamario O'Neal,Jamario ONeal,0.9908,5,Jamario,ONeal,onerioealjam
200524,Jerrell Powe,Jerrell Powe,0.989,5,Jerrell,Powe,powellowejer
200525,Jason Gwaltney,Jason Gwaltney,0.9888,5,Jason,Gwaltney,gwasonneyjas
200526,Toney Baker,Toney Baker,0.9884,5,Toney,Baker,bakneykerton
200527,Kade Weston,Kade Weston,0.9878,5,Kade,Weston,wesadetonkad
200528,Luthur Brown,Luthur Brown,0.9878,5,Luthur,Brown,brohurownlut
200529,Roy Miller,Roy Miller,0.9867,5,Roy,Miller,milroylerroy
200530,Anthony Moeaki,Anthony Moeaki,0.9859,5,Anthony,Moeaki,moeonyakiant
200531,Brian Cushing,Brian Cushing,0.9859,5,Brian,Cushing,cusianingbri
200532,Darren McFadden,Darren McFadden,0.9855,5,Darren,McFadden,mcfrendendar
200533,Dan Doering,Dan Doering,0.9853,5,Dan,Doering,doedaningdan
200534,Marques Slocum,Marques Slocum,0.9853,5,Marques,Slocum,slouescummar
200535,Derek Pegues,Derek Pegues,0.9851,5,Derek,Pegues,pegrekuesder
200536,Dace Richardson,Dace Richardson,0.9845,5,Dace,Richardson,ricacesondac
200537,DajLeon Farr,DajLeon Farr,0.9837,5,DajLeon,Farr,fareonarrdaj
200538,Michael Oher,Michael Oher,0.9833,5,Michael,Oher,oheaelhermic
200539,Victor Harris,Victor Harris,0.9827,4,Victor,Harris,hartorrisvic
200540,Averell Spicer,Averell Spicer,0.9827,4,Averell,Spicer,spiellcerave
200541,Travis Beckum,Travis Beckum,0.9827,4,Travis,Beckum,becviskumtra
200542,Derek Nicholson,Derek Nicholson,0.9825,4,Derek,Nicholson,nicreksonder
200543,Geno Hayes,Geno Hayes,0.9823,4,Geno,Hayes,hayenoyesgen
200544,Reggie Smith,Reggie Smith,0.9821,4,Reggie,Smith,smigieithreg
200545,Leon Jackson,Leon Jackson,0.9815,4,Leon,Jackson,jaceonsonleo
200546,Rico McCoy,Rico McCoy,0.9813,4,Rico,McCoy,mccicocoyric
200547,Ryan Reynolds,Ryan Reynolds,0.9797,4,Ryan,Reynolds,reyyanldsrya
200548,Ndamukong Suh,Ndamukong Suh,0.9797,4,Ndamukong,Suh,suhongsuhnda
200549,LaMarcus Coker,LaMarcus Coker,0.9793,4,LaMarcus,Coker,cokcuskerlam
200550,Selwyn Lymon,Selwyn Lymon,0.9787,4,Selwyn,Lymon,lymwynmonsel
200551,Jonathan Crompton,Jonathan Crompton,0.9785,4,Jonathan,Crompton,crohantonjon
200552,Mario Manningham,Mario Manningham,0.9785,4,Mario,Manningham,manriohammar
200553,C.J. Byrd,CJ Byrd,0.9775,4,CJ,Byrd,byrcjyrdcj
200554,Jamaal Charles,Jamaal Charles,0.9775,4,Jamaal,Charles,chaaallesjam
200555,Rashard Mendenhall,Rashard Mendenhall,0.9775,4,Rashard,Mendenhall,menardallras
200556,Malcolm Kelly,Malcolm Kelly,0.9767,4,Malcolm,Kelly,kelolmllymal
200557,Chris Scott,Chris Scott,0.9767,4,Chris,Scott,scorisottchr
200558,Antonio Bass,Antonio Bass,0.9767,4,Antonio,Bass,basnioassant
200559,Ricky Jean-Francois,Ricky JeanFrancois,0.9767,4,Ricky,JeanFrancois,jeackyoisric
200560,Doug Worthington,Doug Worthington,0.9759,4,Doug,Worthington,worougtondou
200561,Matt Hardrick,Matt Hardrick,0.9757,4,Matt,Hardrick,harattickmat
200562,Curtis Lofton,Curtis Lofton,0.9757,4,Curtis,Lofton,loftistoncur
200563,Ekom Udofia,Ekom Udofia,0.9757,4,Ekom,Udofia,udokomfiaeko
200564,Curtis Crouch,Curtis Crouch,0.9751,4,Curtis,Crouch,crotisuchcur
200565,Will Harris,Will Harris,0.9749,4,Will,Harris,harillriswil
200566,Mohamed Massaquoi,Mohamed Massaquoi,0.9747,4,Mohamed,Massaquoi,masmeduoimoh
200567,Kevin Thomas,Kevin Thomas,0.9747,4,Kevin,Thomas,thovinmaskev
200568,Avery Atkins,Avery Atkins,0.9747,4,Avery,Atkins,atkeryinsave
200569,Jamie Robinson,Jamie Robinson,0.9739,4,Jamie,Robinson,robmiesonjam
200570,Al Jones,Al Jones,0.9735,4,Al,Jones,jonalnesal
200571,Keenan Clayton,Keenan Clayton,0.9729,4,Keenan,Clayton,clanantonkee
200572,Henry Melton,Henry Melton,0.9727,4,Henry,Melton,melnrytonhen
200573,Roy Upchurch,Roy Upchurch,0.9711,4,Roy,Upchurch,upcroyrchroy
200574,Bryan Evans,Bryan Evans,0.9711,4,Bryan,Evans,evayanansbry
200575,Spencer Adkins,Spencer Adkins,0.9705,4,Spencer,Adkins,adkcerinsspe
200576,Phillip Dillard,Phillip Dillard,0.9699,4,Phillip,Dillard,dillipardphi
200577,Josh McNeil,Josh McNeil,0.9693,4,Josh,McNeil,mcnosheiljos
200578,Eric Huggins,Eric Huggins,0.9691,4,Eric,Huggins,hugricinseri
200579,Everette Brown,Everette Brown,0.9691,4,Everette,Brown,brotteowneve
200580,O.J. Murdock,OJ Murdock,0.9679,4,OJ,Murdock,murojockoj
200581,Michael Shumard,Michael Shumard,0.9679,4,Michael,Shumard,shuaelardmic
200582,Anthony Felder,Anthony Felder,0.9677,4,Anthony,Felder,felonyderant
200583,Courtney Harris,Courtney Harris,0.9675,4,Courtney,Harris,harneyriscou
200584,Cory Zirbel,Cory Zirbel,0.9671,4,Cory,Zirbel,zirorybelcor
200585,Carlos Thomas,Carlos Thomas,0.9665,4,Carlos,Thomas,tholosmascar
200586,Jake Christensen,Jake Christensen,0.9647,4,Jake,Christensen,chrakesenjak
200587,Chris Keys,Chris Keys,0.9639,4,Chris,Keys,keyriseyschr
200588,Aaron Ware,Aaron Ware,0.9635,4,Aaron,Ware,warronareaar
200589,Nic Harris,Nic Harris,0.9631,4,Nic,Harris,harnicrisnic
200590,Deveon Simmons,Deveon Simmons,0.9631,4,Deveon,Simmons,simeononsdev
200591,Paul Freeney,Paul Freeney,0.9622,4,Paul,Freeney,freaulneypau
200592,Terrance Taylor,Terrance Taylor,0.9618,4,Terrance,Taylor,tayncelorter
200593,Kalvin Bailey,Kalvin Bailey,0.9614,4,Kalvin,Bailey,baivinleykal
200594,James McKinney,James McKinney,0.9612,4,James,McKinney,mckmesneyjam
200595,Montario Hardesty,Montario Hardesty,0.9602,4,Montario,Hardesty,harriostymon
200596,Cary Harris,Cary Harris,0.9507,4,Cary,Harris,hararyriscar
200597,Matt Reynolds,Matt Reynolds,0.9503,4,Matt,Reynolds,reyattldsmat
200598,Josh Portis,Josh Portis,0.9501,4,Josh,Portis,poroshtisjos
200599,Kaluka Maiava,Kaluka Maiava,0.9469,4,Kaluka,Maiava,maiukaavakal
2005100,D.J. Hord,DJ Hord,0.944,4,DJ,Hord,hordjorddj
2005101,Jerome Hayes,Jerome Hayes,0.9436,4,Jerome,Hayes,hayomeyesjer
2005102,Darius Dewberry,Darius Dewberry,0.9424,4,Darius,Dewberry,dewiusrrydar
2005103,Rafael Eubanks,Rafael Eubanks,0.9422,4,Rafael,Eubanks,eubaelnksraf
2005104,Kyle Moore,Kyle Moore,0.9422,4,Kyle,Moore,mooyleorekyl
2005105,James Davis,James Davis,0.9418,4,James,Davis,davmesvisjam
2005106,Aleksey Lanis,Aleksey Lanis,0.9414,4,Aleksey,Lanis,lanseynisale
2005107,Vince Oghobaase,Vince Oghobaase,0.941,4,Vince,Oghobaase,oghnceasevin
2005108,R.J. Jackson,RJ Jackson,0.9369,4,RJ,Jackson,jacrjsonrj
2005109,Raymond Henderson,Raymond Henderson,0.9367,4,Raymond,Henderson,henondsonray
2005110,J.B. Paxson,JB Paxson,0.9361,4,JB,Paxson,paxjbsonjb
2005111,Earl Heyman,Earl Heyman,0.9341,4,Earl,Heyman,heyarlmanear
2005112,Christopher Brown,Christopher Brown,0.9333,4,Christopher,Brown,broherownchr
2005113,Michael Ray Garvin,Michael Ray Garvin,0.9331,4,Michael,Ray Garvin,rayaelvinmic
2005114,Pat Sheil,Pat Sheil,0.9323,4,Pat,Sheil,shepateilpat
2005115,Shawn Oatis,Shawn Oatis,0.9319,4,Shawn,Oatis,oatawntissha
2005116,Rendrick Taylor,Rendrick Taylor,0.9315,4,Rendrick,Taylor,tayicklorren
2005117,Syd'Quan Thompson,SydQuan Thompson,0.9313,4,SydQuan,Thompson,thouansonsyd
2005118,Mike Brown,Mike Brown,0.9309,4,Mike,Brown,broikeownmik
2005119,Elijah Hodge,Elijah Hodge,0.9305,4,Elijah,Hodge,hodjahdgeeli
2005120,Jonathan Hannah,Jonathan Hannah,0.9303,4,Jonathan,Hannah,hanhannahjon
